0,0,50
0,10.47,50
0,20.93,50
0,31.4,50
0,41.87,50
0,52.33,50
0,62.8,50
0,73.27,50
0,83.73,50
0,94.2,50
0,104.67,50
0,115.13,50
0,125.6,50
0,136.07,50
0,146.53,50
0,157,50
0,167.47,50
0,177.93,50
0,188.4,50
0,198.87,50
0,209.33,50
0,219.8,50
0,230.27,50
0,240.73,50
0,251.2,50
0,261.67,50
0,272.13,50
0,282.6,50
0,293.07,50
0,303.53,50
0,314,50
10.47,0,60.39
10.47,10.47,60.16
10.47,20.93,59.49
10.47,31.4,58.41
10.47,41.87,56.96
10.47,52.33,55.2
10.47,62.8,53.22
10.47,73.27,51.09
10.47,83.73,48.92
10.47,94.2,46.8
10.47,104.67,44.81
10.47,115.13,43.06
10.47,125.6,41.6
10.47,136.07,40.51
10.47,146.53,39.84
10.47,157,39.61
10.47,167.47,39.83
10.47,177.93,40.5
10.47,188.4,41.58
10.47,198.87,43.03
10.47,209.33,44.79
10.47,219.8,46.77
10.47,230.27,48.89
10.47,240.73,51.06
10.47,251.2,53.19
10.47,261.67,55.17
10.47,272.13,56.93
10.47,282.6,58.39
10.47,293.07,59.48
10.47,303.53,60.16
10.47,314,60.39
20.93,0,70.33
20.93,10.47,69.88
20.93,20.93,68.57
20.93,31.4,66.45
20.93,41.87,63.61
20.93,52.33,60.17
20.93,62.8,56.29
20.93,73.27,52.14
20.93,83.73,47.89
20.93,94.2,43.74
20.93,104.67,39.86
20.93,115.13,36.42
20.93,125.6,33.57
20.93,136.07,31.44
20.93,146.53,30.12
20.93,157,29.67
20.93,167.47,30.11
20.93,177.93,31.42
20.93,188.4,33.53
20.93,198.87,36.37
20.93,209.33,39.8
20.93,219.8,43.68
20.93,230.27,47.83
20.93,240.73,52.08
20.93,251.2,56.23
20.93,261.67,60.12
20.93,272.13,63.56
20.93,282.6,66.41
20.93,293.07,68.55
20.93,303.53,69.87
20.93,314,70.33
31.4,0,79.38
31.4,10.47,78.74
31.4,20.93,76.84
31.4,31.4,73.77
31.4,41.87,69.67
31.4,52.33,64.7
31.4,62.8,59.1
31.4,73.27,53.09
31.4,83.73,46.95
31.4,94.2,40.95
31.4,104.67,35.34
31.4,115.13,30.37
31.4,125.6,26.26
31.4,136.07,23.18
31.4,146.53,21.27
31.4,157,20.62
31.4,167.47,21.26
31.4,177.93,23.14
31.4,188.4,26.2
31.4,198.87,30.3
31.4,209.33,35.26
31.4,219.8,40.86
31.4,230.27,46.86
31.4,240.73,53
31.4,251.2,59.01
31.4,261.67,64.62
31.4,272.13,69.6
31.4,282.6,73.72
31.4,293.07,76.8
31.4,303.53,78.72
31.4,314,79.38
41.87,0,87.14
41.87,10.47,86.33
41.87,20.93,83.94
41.87,31.4,80.06
41.87,41.87,74.87
41.87,52.33,68.59
41.87,62.8,61.5
41.87,73.27,53.91
41.87,83.73,46.15
41.87,94.2,38.56
41.87,104.67,31.46
41.87,115.13,25.18
41.87,125.6,19.98
41.87,136.07,16.09
41.87,146.53,13.68
41.87,157,12.86
41.87,167.47,13.66
41.87,177.93,16.04
41.87,188.4,19.91
41.87,198.87,25.09
41.87,209.33,31.36
41.87,219.8,38.44
41.87,230.27,46.03
41.87,240.73,53.79
41.87,251.2,61.39
41.87,261.67,68.49
41.87,272.13,74.78
41.87,282.6,79.99
41.87,293.07,83.89
41.87,303.53,86.31
41.87,314,87.14
52.33,0,93.29
52.33,10.47,92.34
52.33,20.93,89.55
52.33,31.4,85.03
52.33,41.87,78.98
52.33,52.33,71.66
52.33,62.8,63.4
52.33,73.27,54.56
52.33,83.73,45.51
52.33,94.2,36.66
52.33,104.67,28.4
52.33,115.13,21.07
52.33,125.6,15.01
52.33,136.07,10.48
52.33,146.53,7.67
52.33,157,6.71
52.33,167.47,7.64
52.33,177.93,10.42
52.33,188.4,14.93
52.33,198.87,20.97
52.33,209.33,28.28
52.33,219.8,36.53
52.33,230.27,45.37
52.33,240.73,54.42
52.33,251.2,63.27
52.33,261.67,71.54
52.33,272.13,78.88
52.33,282.6,84.95
52.33,293.07,89.49
52.33,303.53,92.31
52.33,314,93.29
62.8,0,97.54
62.8,10.47,96.51
62.8,20.93,93.44
62.8,31.4,88.47
62.8,41.87,81.83
62.8,52.33,73.79
62.8,62.8,64.72
62.8,73.27,55
62.8,83.73,45.07
62.8,94.2,35.35
62.8,104.67,26.27
62.8,115.13,18.23
62.8,125.6,11.57
62.8,136.07,6.59
62.8,146.53,3.51
62.8,157,2.46
62.8,167.47,3.48
62.8,177.93,6.53
62.8,188.4,11.48
62.8,198.87,18.12
62.8,209.33,26.14
62.8,219.8,35.21
62.8,230.27,44.92
62.8,240.73,54.85
62.8,251.2,64.58
62.8,261.67,73.66
62.8,272.13,81.71
62.8,282.6,88.38
62.8,293.07,93.37
62.8,303.53,96.47
62.8,314,97.54
73.27,0,99.72
73.27,10.47,98.64
73.27,20.93,95.43
73.27,31.4,90.24
73.27,41.87,83.29
73.27,52.33,74.88
73.27,62.8,65.4
73.27,73.27,55.23
73.27,83.73,44.84
73.27,94.2,34.68
73.27,104.67,25.18
73.27,115.13,16.77
73.27,125.6,9.81
73.27,136.07,4.6
73.27,146.53,1.38
73.27,157,0.28
73.27,167.47,1.35
73.27,177.93,4.54
73.27,188.4,9.72
73.27,198.87,16.65
73.27,209.33,25.05
73.27,219.8,34.53
73.27,230.27,44.69
73.27,240.73,55.08
73.27,251.2,65.24
73.27,261.67,74.75
73.27,272.13,83.17
73.27,282.6,90.14
73.27,293.07,95.36
73.27,303.53,98.6
73.27,314,99.72
83.73,0,99.73
83.73,10.47,98.64
83.73,20.93,95.44
83.73,31.4,90.24
83.73,41.87,83.29
83.73,52.33,74.89
83.73,62.8,65.4
83.73,73.27,55.24
